state,n_prefixes,n_continue_evaluated,n_branch_evaluated,n_continue_errors,n_branch_errors,continue_accuracy,branch_pass_at_4,branch_accuracy_at_4,branch_gain
Stable,1318,1318,1318,0,0,0.8884673748103187,0.9028831562974203,0.8877086494688923,0.014415781487101653
Decision-sensitive,28,28,28,0,0,0.03571428571428571,0.14285714285714285,0.08035714285714286,0.10714285714285714
Corrupted-recoverable,128,128,128,0,0,0.921875,1.0,0.939453125,0.078125
Corrupted-stuck,74,74,74,0,0,0.02702702702702703,0.0,0.0,-0.02702702702702703
